id,genre
13357,Pop
11542,Indie Rock
11543,Dance
11540,International Pop
11541,Rap/Hip Hop
11546,Dance
11547,Dance
11544,Films/Games
11545,Pop
11548,Reggae
11549,Dance
5988,Pop
5989,Dance
19399,Folk
19398,Dance
5982,Pop
5983,Indie Pop/Folk
5980,Metal
5981,Pop
5986,Indie Rock
5987,Dance
5984,Indie Rock
5985,Dirty South
24853,Pop
17541,Indie Pop/Folk
53906,Rap/Hip Hop
46139,Dancefloor
46138,Hard Rock
46137,Reggae
46136,Comedy
46135,Films/Games
46134,Indie Rock
46133,Indie Rock
46132,Techno/House
46131,Pop
46130,Dancefloor
53908,Rap/Hip Hop
53909,Jazz Hip Hop
28561,Alternative
54544,Film Scores
270,Pop
271,Techno/House
272,Indie Rock
273,Country
274,Indie Rock
275,Rock
276,Pop
277,Dance
278,Dirty South
279,Dance
16707,Indie Rock
16706,Hard Rock
16701,Pop
16700,Jazz
16703,Pop
16702,Metal
42087,Rap/Hip Hop
12019,Dance
12018,Dancefloor
42086,Indie Pop/Folk
12015,Rock & Roll/Rockabilly
12014,Pop
12017,Electro
12016,Rock
12011,Pop
12010,Indie Pop/Folk
12013,Dance
12012,Dancefloor
17258,Films/Games
17259,Pop
42084,Reggae
17250,Singer & Songwriter
17251,Films/Games
17252,Dance
17253,International Pop
17254,International Pop
17255,Rock
17256,Films/Games
17257,International Pop
10709,Dance
10708,Jazz
42081,Folk
9258,Dance
9259,Dance
9256,Latin Music
9257,Films/Games
9254,Techno/House
9255,Films/Games
9252,Alternative
9253,Rap/Hip Hop
9250,Alternative
53734,International Pop
46793,Dance
46792,Electro
46791,Rap/Hip Hop
46790,Dance
21619,Film Scores
21618,Films/Games
46795,Films/Games
46794,Dance
21615,Rock
21614,Indie Rock
21617,Comedy
21616,International Pop
21611,Films/Games
21610,Pop
21613,Dirty South
21612,Indie Rock
19397,Indie Rock
42089,Comedy
45448,Electro
19396,Dance
45446,Alternative
45447,Hard Rock
45444,Rap/Hip Hop
45445,Pop
45442,Films/Games
19395,Pop
45440,Comedy
45441,Reggae
44799,International Pop
44798,Rap/Hip Hop
19394,Dance
20150,Pop
44791,Pop
19393,Films/Games
44793,Dance
44792,Dance
44795,Comedy
44794,Rock
44797,Hard Rock
19392,Dance
46869,International Pop
46868,Folk
20152,Dance
19391,Indie Rock
46861,Indie Rock
46860,International Pop
46863,Dance
19390,Dance
46865,Indie Pop/Folk
46864,Rap/Hip Hop
46867,Reggae
46866,Dance
20157,Pop
20156,Films/Games
22746,Pop
20159,Films/Games
17199,Chill Out/Trip-Hop/Lounge
20158,Dance
16768,Dance
22747,Electro
22744,Singer & Songwriter
13058,Comedy
13059,Dance
13052,Pop
13053,Rap/Hip Hop
13050,Dancefloor
13051,Dance
13056,Dance
13057,Jazz Hip Hop
13054,Dance
13055,Films/Games
54170,Pop
54171,Dance
54172,Dance
54173,Indie Rock
54174,Dance
54175,Pop
54176,Dancefloor
54177,Pop
54178,Dance
54179,Dance
20258,Rap/Hip Hop
20259,Dance
20252,Film Scores
20253,Indie Pop/Folk
20250,Dance
20251,Pop
20256,Dancefloor
20257,Pop
20254,Dance
20255,Rap/Hip Hop
40966,Dancefloor
40967,Pop
40964,Latin Music
40965,Pop
29769,Films/Games
29768,International Pop
44421,Pop
40961,Indie Rock
29765,Dance
29764,Rap/Hip Hop
29767,Dancefloor
29766,Dance
29761,Pop
29760,Dance
29763,Rock
29762,Kids
1177,Films/Games
1176,Dance
1175,Films/Games
1174,Indie Rock
1173,Dance
1172,Indie Pop/Folk
1171,Pop
23508,Indie Rock
23507,Pop
23506,Pop
23505,Rap/Hip Hop
23504,Dancefloor
23503,Dance
23502,Films/Games
1179,Dance
1178,Pop
