genre,parent
Pop,pop/rock
Indie Rock,pop/rock
Indie Pop/Folk,pop/rock
International Pop,pop/rock
Rap/Hip Hop,hip-hop
Rock,pop/rock
Indie Pop,pop/rock
Alternative,pop/rock
Dance,electronic
Jazz,jazz
Techno/House,electronic
Electro,electronic
Singer & Songwriter,folk
Films/Games,others
Contemporary R&B,hip-hop
R&B,hip-hop
Film Scores,others
Reggae,reggae
Folk,folk
Disco,funk/soul
Metal,pop/rock
Vocal jazz,jazz
Latin Music,traditional
Old school soul,funk/soul
Dirty South,hip-hop
Dancefloor,electronic
Hard Rock,pop/rock
Kids,others
Rock & Roll/Rockabilly,pop/rock
Blues,blues
Comedy,others
Dubstep,electronic
Electro Pop/Electro Rock,electronic
Jazz Hip Hop,hip-hop
Soul & Funk,funk/soul
Classical,classical
Country,country
Trance,electronic
Indie Rock/Rock pop,pop/rock
East Coast,hip-hop
Soundtracks,others
Chill Out/Trip-Hop/Lounge,electronic
TV Soundtracks,others
Contemporary Soul,funk/soul
Tropical,traditional
Brazilian Music,traditional
Dub,electronic
Asian Music,traditional
Electric Blues,blues
Dancehall/Ragga,reggae
Electro Hip Hop,electronic
Musicals,others
Spirituality & Religion,others
Opera,classical
Ska,reggae
Bluegrass,country
Sports,others
Instrumental jazz,jazz
West Coast,hip-hop
Chicago Blues,blues
Oldschool R&B,hip-hop
Country Blues,blues
African Music,traditional
Acoustic Blues,blues
Alternative Country,country
Game Scores,others
Bolero,traditional
Nursery Rhymes,traditional
Baroque,classical
Urban Cowboy,country
Grime,hip-hop
Traditional Country,country
Bollywood,traditional
Ranchera,traditional
Old School,pop/rock
Indian Music,traditional
Early Music,classical
Classical Period,classical
Delta Blues,blues
Modern,pop/rock
TV shows & movies,others
Classic Blues,blues
Romantic,others
Kids & Family,others
